"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10013","Fredrick ","Romualdez","March 10 1985","22A/52 Lubowitz Meadows Pililla 4895 Zambales","023-079-009","26-8768374-1","308367000000","598-065-761-000","223058000000","Regular","Account Manager","Crisostomo Jose","63500","1500","1000","1000","31750","378"
"10014","Mark ","Bautista","February 12 1961","65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino","683-725-348","49-1647342-5","399665000000","273-970-941-000","260055000000","Regular","Account Rank and File","Mata Christian","23250","1500","500","500","11625","138"
"10015","Darlene ","Lazaro","November 25 1985","47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino","740-721-558","45-5617168-2","606387000000","354-650-951-000","104908000000","Probationary","Account Rank and File","Mata Christian","23250","0","0","0","11625","138"
"10016","Kolby ","Delos Santos","February 26 1980","06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur","739-443-033","52-0109570-6","357451000000","187-500-345-000","113018000000","Probationary","Account Rank and File","Mata Christian","24000","0","0","0","12000","143"
"10017","Vella ","Santos","December 31 1983","99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur","955-879-269","52-9883524-3","548670000000","101-558-994-000","360028000000","Probationary","Account Rank and File","Mata Christian","22500","0","0","0","11250","134"
"10018","Tomas","Del Rosario","December 18 1978","80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque","882-550-989","45-5866331-6","953902000000","560-735-732-000","913109000000","Probationary","Account Rank and File","Mata Christian","22500","0","0","0","11250","134"
"10019","Jacklyn ","Tolentino","May 19 1944","96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao","675-757-366","47-1692793-0","753801000000","841-177-857-000","210547000000","Probationary","Account Rank and File","De Leon Selena","24000","0","0","0","12000","143"
"10020","Percival ","Gutierrez","December 18 1970","58A Wilderman Walks Poblacion Digos 5822 Davao del Sur","512-899-876","40-9504657-8","797639000000","502-995-671-000","210897000000","Probationary","Account Rank and File","De Leon Selena","24750","0","0","0","12375","147"
"10021","Garfield ","Manalaysay","August 28 1966","60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur","948-628-136","45-3298166-4","810909000000","336-676-445-000","211274000000","Probationary","Account Rank and File","De Leon Selena","24750","0","0","0","12375","147"
"10022","Lizeth ","Villegas","December 12 1981","66/77 Mann Views Luisiana 1263 Dinagat Islands","332-372-215","40-2400719-4","934390000000","210-395-397-000","122238000000","Probationary","Account Rank and File","De Leon Selena","24000","0","0","0","12000","143"
"10023","Carol ","Ramos","August 20 1978","72/70 Stamm Spurs Bustos 4550 Iloilo","250-700-389","60-1152206-4","351830000000","395-032-717-000","212142000000","Probationary","Account Rank and File","De Leon Selena","22500","0","0","0","11250","134"
"10024","Emelia ","Maceda","April 14 1963","50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija","973-358-041","54-1331005-0","465088000000","215-973-013-000","515013000000","Probationary","Account Rank and File","De Leon Selena","22500","0","0","0","11250","134"
"10025","Delia ","Aguilar","January 27 1939","95 Cremin Junction Surallah 2809 Cotabato","529-705-439","52-1859253-1","136451000000","599-312-588-000","110019000000","Probationary","Account Rank and File","De Leon Selena","22500","0","0","0","11250","134"
